lineup_id,country,channel_type,channel_id,dn_1,dn_2,dn_3,call_sign,channel_number,feed,network_base,city,region,brand_scope,resolution,final_display_name
10273,US,specialty,16418.stations.xmltv.tvmedia.ca,NBC Universo HD - Eastern,NBCUNHD,775,NBCUNHD,775,,NBC Universo HD - Eastern,,,,,
10273,US,specialty,6112.stations.xmltv.tvmedia.ca,Disney HD - Eastern,DISN,780,DISN,780,,Disney HD - Eastern,,,,,
10273,US,specialty,6236.stations.xmltv.tvmedia.ca,Disney XD USA HD - Eastern Feed,DISNXD-HD,781,DISNXD-HD,781,,Disney XD USA HD - Eastern Feed,,,,,
10273,US,specialty,11446.stations.xmltv.tvmedia.ca,INSP HD,INSPHD,786,INSPHD,786,,INSP HD,,,,,
10273,US,specialty,8518.stations.xmltv.tvmedia.ca,Discovery Family Channel HD,DFC-HD,789,DFC-HD,789,,Discovery Family Channel HD,,,,,
10273,US,specialty,13634.stations.xmltv.tvmedia.ca,Daystar  - Network HD,DSTAR,793,DSTAR,793,,Daystar  - Network HD,,,,,
10273,US,specialty,16425.stations.xmltv.tvmedia.ca,SonLife Network HD,SBN-HD,797,SBN-HD,797,,SonLife Network HD,,,,,
10273,US,specialty,7298.stations.xmltv.tvmedia.ca,Jewish Life Television HD,JLT,798,JLT,798,,Jewish Life Television HD,,,,,
10273,US,specialty,6217.stations.xmltv.tvmedia.ca,G4 USA HD,G4HD,804,G4HD,804,,G4 USA HD,,,,,
10273,US,specialty,6444.stations.xmltv.tvmedia.ca,Willow Cricket HD,WLLO-HD,806,WLLO-HD,806,,Willow Cricket HD,,,,,
10273,US,specialty,6981.stations.xmltv.tvmedia.ca,RACER Network USA HD,RACERHD,810,RACERHD,810,,RACER Network USA HD,,,,,
10273,US,specialty,14118.stations.xmltv.tvmedia.ca,The Nest,NEST,820,NEST,820,,The Nest,,,,,
